Time Stamp,User,Compound,Positive,Neutral,Negative,Tweet,Tweet_Ago
1/11/2019,@Boeing,0,0,1,0,⚡️ How will the future of air travel continue to evolve? New aircraft concepts for the Transonic Truss-Braced Wing… https://t.co/iARJaHuhbX,53
1/10/2019,@Boeing,0.4215,0.189,0.811,0,The Brazilian government approved our strategic partnership with @Embraer. Learn more: https://t.co/hHLVwb6x60 https://t.co/GPxRtWH8qj,54
1/10/2019,@Boeing,0.0258,0.107,0.791,0.102,RT @BoeingDefense: .@USAirForce accepts Boeing's first #KC46 Pegasus next-gen tanker. Next stop for the world’s newest tanker: @22ARW #Team…,55
1/8/2019,@Boeing,0,0,1,0,"Our new aerodynamic concept is spreading its wings at #aiaaSciTech today! #TheFutureIsBuiltHere 
Read more about ou… https://t.co/EhP16xqRkj",56
1/8/2019,@Boeing,0.6588,0.188,0.812,0,What a great year! We delivered 806 commercial and 96 military aircraft in 2018. Learn more about our 2018 deliveri… https://t.co/BijOmjWyeG,57
1/7/2019,@Boeing,0.8516,0.436,0.564,0,It's like one big 787 #Dreamliner hug. Congrats @united on completing your Dreamliner family! https://t.co/isudrI1UzF,58
1/4/2019,@Boeing,0.5707,0.235,0.765,0,Congrats @BoeingCEO for being recognized as @AviationWeek’s 2018 Person of the Year! https://t.co/TUfqniasZW,59
12/31/2018,@Boeing,0,0,1,0,The countdown begins to a sensational 2019. #HappyNewYear2019 from Boeing! #TheFutureIsBuiltHere https://t.co/W7WPucZf37,60
12/30/2018,@Boeing,0.75,0.225,0.775,0,RT @BoeingSpace: From coast to coast the stars aligned: We welcomed astronauts to the team. We built. We tested. We celebrated! Jump in our…,61
12/28/2018,@Boeing,0.4588,0.176,0.824,0,RT @BoeingDefense: ✈️ Soaring back through 2018. Take a look at our favorite moments. #TheFutureIsBuiltHere https://t.co/wg3zu33RhX,62
12/26/2018,@Boeing,0.5719,0.144,0.856,0,"RT @BoeingAirplanes: As we count down the days until the new year, we’re taking a moment to look back and celebrate our team’s accomplishme…",63
12/18/2018,@Boeing,0,0,1,0,We’re pushing Unreal Engine way beyond games. We seek to transform the future of training with high-fidelity extend… https://t.co/1a28Nz1XjC,64
12/17/2018,@Boeing,0.4215,0.157,0.843,0,"RELEASE: Embraer and Boeing Approved the Terms of Strategic Aerospace Partnership, Seek Brazilian Government Approv… https://t.co/qm5cYUDtpX",65
12/15/2018,@Boeing,0.5719,0.179,0.821,0,We’re celebrating the first delivery to @AirChinaNA with joint venture partner @COMACAmerica today from the new 737… https://t.co/9icVyyg6k9,66
12/13/2018,@Boeing,0.5267,0.159,0.841,0,How will technology continue to disrupt and change our lives? Visionary leaders tackled this and more at the… https://t.co/Lw7sni666r,67
12/13/2018,@Boeing,0,0,1,0,RT @AtlanticLIVE: SPONSORED: Check out these interactive experiences that bring you closer to @Boeing products and the future of mobility -…,68
12/13/2018,@Boeing,0.4767,0.129,0.871,0,Where is technology taking us? The possibilities of the future are always on our mind. That’s why we’re proud to sp… https://t.co/gdu51bB7Ig,69
12/12/2018,@Boeing,0.34,0.179,0.821,0,@Ron_Nirenberg @PortSanAntonio @sachamber @SAHispanicCC @SanAntonioEDF @COSAGOV We’re excited to invest in… https://t.co/hE7sRZeFFL,70
12/12/2018,@Boeing,0,0,1,0,"RT @BoeingSpace: Hey @StephenCurry30, while you’re down visiting @NASA_Johnson, we’ll teach you how to fly the #Starliner to the @Space_Sta…",71
12/10/2018,@Boeing,0,0,1,0,RT @BoeingAirplanes: CEO of GOL: “The #737MAX exceeds the expected performance on every count.” Airline announces it’s taking more MAX jets…,72
12/7/2018,@Boeing,0.875,0.458,0.542,0,We’re proud to be ranked as a top 10 Military Friendly Brand. We truly believe that #VeteransMakeUsBetter https://t.co/kqfq3IlkSg,73
12/6/2018,@Boeing,0.8176,0.362,0.638,0,We’re proud to help lead &amp; support the national celebration of the #Apollo50th anniversary missions. This historic… https://t.co/wssX3MDdNj,74
12/6/2018,@Boeing,0.7579,0.327,0.612,0.061,RELEASE: We predict strong demand for new commercial airplanes in 2019 and increased potential growth for next 5 ye… https://t.co/Zj8HPDqgAT,75
