Date,Open,High,Low,Close,Adj Close,Volume
2016-10-17,133.500000,135.380005,133.330002,134.000000,125.279587,2435100
2016-10-18,135.029999,135.740005,134.919998,135.100006,126.308037,2239800
2016-10-19,135.419998,136.949997,135.330002,136.179993,127.317711,2265900
2016-10-20,135.919998,136.750000,135.369995,135.839996,126.999832,2539700
2016-10-21,134.720001,136.190002,134.250000,135.630005,126.803520,2205000
2016-10-24,136.410004,138.880005,136.410004,137.449997,128.505096,3814200
2016-10-25,137.529999,139.419998,137.350006,139.020004,129.972931,5209100
2016-10-26,138.429993,146.190002,136.720001,145.539993,136.068604,13272000
2016-10-27,145.830002,146.229996,141.779999,143.309998,133.983734,7857100
2016-10-28,143.720001,144.000000,142.169998,143.009995,133.703247,4636100
2016-10-31,143.050003,143.350006,142.149994,142.429993,133.160995,3075900
2016-11-01,142.949997,143.899994,141.809998,142.410004,133.142319,3245000
2016-11-02,142.000000,142.869995,140.589996,140.750000,131.590332,2782100
2016-11-03,140.759995,140.899994,139.350006,140.020004,130.907822,2280800
2016-11-04,139.110001,140.850006,138.800003,139.539993,130.459061,2951500
2016-11-07,141.500000,143.100006,141.490005,143.029999,133.721954,3228200
2016-11-08,141.919998,143.309998,141.289993,142.199997,133.966934,2777300
2016-11-09,141.600006,145.850006,141.539993,145.089996,137.745407,5494400
2016-11-10,146.509995,149.339996,146.389999,147.690002,140.213821,6508300
2016-11-11,147.119995,148.600006,146.559998,148.520004,141.001801,3585200
2016-11-14,148.210007,150.089996,148.210007,149.990005,142.397385,4435400
2016-11-15,148.440002,149.449997,147.190002,148.110001,140.612549,3856600
2016-11-16,147.300003,148.410004,146.139999,146.440002,139.027084,3531800
2016-11-17,146.830002,147.119995,145.000000,145.330002,137.973297,3656100
2016-11-18,145.179993,146.600006,144.460007,146.350006,138.941666,2214400
2016-11-21,147.210007,148.490005,146.520004,147.020004,139.577728,2825900
2016-11-22,147.899994,149.759995,147.880005,149.520004,141.951202,3770000
2016-11-23,149.610001,150.809998,149.029999,149.740005,142.160034,2857500
2016-11-25,150.000000,150.149994,149.029999,150.039993,142.444855,962300
2016-11-28,149.000000,150.089996,148.320007,149.770004,142.188538,4728800
2016-11-29,149.830002,152.110001,149.110001,151.639999,143.963867,3945600
2016-11-30,151.589996,153.080002,150.559998,150.559998,142.938522,3991000
2016-12-01,150.740005,152.690002,150.389999,152.389999,144.675888,2843900
2016-12-02,152.449997,152.490005,151.119995,152.250000,144.542999,2105600
2016-12-05,153.240005,153.750000,151.850006,152.160004,144.457550,2855900
2016-12-06,150.839996,152.639999,150.020004,152.240005,144.533478,3476300
2016-12-07,151.669998,154.309998,151.070007,154.139999,146.337296,2955800
2016-12-08,154.600006,155.970001,154.139999,155.389999,147.524048,2928400
2016-12-09,155.649994,156.880005,155.419998,156.490005,148.568375,2707900
2016-12-12,156.000000,158.000000,154.300003,157.160004,149.204468,4250600
2016-12-13,159.100006,160.070007,154.880005,156.660004,148.729752,5650400
2016-12-14,156.229996,156.369995,154.179993,154.470001,146.650620,3640200
2016-12-15,153.929993,155.240005,153.059998,153.770004,145.986053,2889300
2016-12-16,153.880005,156.000000,153.139999,154.500000,146.679077,5378000
2016-12-19,155.160004,157.100006,155.070007,156.179993,148.274033,3002800
2016-12-20,156.960007,157.889999,155.949997,156.389999,148.473404,2270100
2016-12-21,156.690002,158.500000,156.649994,157.479996,149.508224,2326000
2016-12-22,158.500000,158.990005,156.250000,157.460007,149.489243,3958500
2016-12-23,158.270004,158.270004,156.509995,157.809998,149.821533,2132600
2016-12-27,158.410004,158.479996,156.910004,157.479996,149.508224,1858700
2016-12-28,157.119995,157.350006,156.009995,156.100006,148.198090,1810400
2016-12-29,156.000000,156.750000,155.160004,155.690002,147.808838,1791300
2016-12-30,156.490005,156.789993,154.960007,155.679993,147.799332,2027700
2017-01-03,156.300003,157.139999,155.210007,156.970001,149.024048,3426100
2017-01-04,157.809998,159.229996,157.809998,158.619995,150.590530,3189800
2017-01-05,158.410004,159.699997,157.399994,158.710007,150.675980,2796000
2017-01-06,158.979996,159.660004,157.889999,159.100006,151.046234,2426000
2017-01-09,159.000000,159.240005,158.169998,158.320007,150.305725,2819400
2017-01-10,158.960007,159.940002,158.570007,159.070007,151.017731,2988300
2017-01-11,159.539993,159.699997,158.279999,159.399994,151.331055,2416500
2017-01-12,159.149994,159.160004,156.669998,158.289993,150.277222,3020500
2017-01-13,158.740005,159.580002,158.339996,158.830002,150.789871,2435400
2017-01-17,158.199997,159.039993,157.229996,157.669998,149.688614,2756000
2017-01-18,157.550003,159.050003,156.750000,158.320007,150.305725,2087000
2017-01-19,158.869995,159.869995,157.910004,159.000000,150.951279,3144000
2017-01-20,159.809998,160.300003,158.229996,159.529999,151.454453,3384500
2017-01-23,158.940002,159.500000,157.289993,157.839996,149.849991,3931200
2017-01-24,158.580002,160.929993,157.839996,160.550003,152.422821,3927500
2017-01-25,163.589996,168.649994,163.240005,167.360001,158.888092,7480000
2017-01-26,167.250000,170.000000,167.250000,169.119995,160.558990,5436800
2017-01-27,169.210007,169.800003,167.009995,167.699997,159.210876,4883200
2017-01-30,165.919998,165.990005,163.820007,165.570007,157.188705,5456300
2017-01-31,164.960007,165.100006,163.220001,163.419998,155.147537,5350700
2017-02-01,164.250000,165.809998,163.119995,163.970001,155.669708,3138000
